 F		 G
 1.47910839e+02  3.84941673e+01 
 1.51356125e+02  3.84222573e+01 
 1.54881662e+02  3.83482243e+01 
 1.58489319e+02  3.82720415e+01 
 1.62181010e+02  3.81936743e+01 
 1.65958691e+02  3.81131117e+01 
 1.69824365e+02  3.80303243e+01 
 1.73780083e+02  3.79452970e+01 
 1.77827941e+02  3.78580248e+01 
 1.81970086e+02  3.77684817e+01 
 1.86208714e+02  3.76766633e+01 
 1.90546072e+02  3.75825658e+01 
 1.94984460e+02  3.74861659e+01 
 1.99526231e+02  3.73874759e+01 
 2.04173794e+02  3.72864967e+01 
 2.08929613e+02  3.71832292e+01 
 2.13796209e+02  3.70776720e+01 
 2.18776162e+02  3.69698340e+01 
 2.23872114e+02  3.68597235e+01 
 2.29086765e+02  3.67473445e+01 
 2.34422882e+02  3.66327245e+01 
 2.39883292e+02  3.65158771e+01 
 2.45470892e+02  3.63968137e+01 
 2.51188643e+02  3.62755515e+01 
 2.57039578e+02  3.61521207e+01 
 2.63026799e+02  3.60265493e+01 
 2.69153480e+02  3.58988542e+01 
 2.75422870e+02  3.57690701e+01 
 2.81838293e+02  3.56372229e+01 
 2.88403150e+02  3.55033332e+01 
 2.95120923e+02  3.53674582e+01 
 3.01995172e+02  3.52296223e+01 
 3.09029543e+02  3.50898488e+01 
 3.16227766e+02  3.49481917e+01 
 3.23593657e+02  3.48046771e+01 
 3.31131121e+02  3.46593521e+01 
 3.38844156e+02  3.45122448e+01 
 3.46736850e+02  3.43634064e+01 
 3.54813389e+02  3.42128675e+01 
 3.63078055e+02  3.40606825e+01 
 3.71535229e+02  3.39068853e+01 
 3.80189396e+02  3.37515145e+01 
 3.89045145e+02  3.35946195e+01 
 3.98107171e+02  3.34362336e+01 
 4.07380278e+02  3.32764154e+01 
 4.16869383e+02  3.31151831e+01 
 4.26579519e+02  3.29526006e+01 
 4.36515832e+02  3.27887001e+01 
 4.46683592e+02  3.26235216e+01 
 4.57088190e+02  3.24571130e+01 
 4.67735141e+02  3.22895103e+01 
