 F		G
 2.63026799e+01 -2.85910294e-01 
 2.69153480e+01 -2.95343049e-01 
 2.75422870e+01 -3.05196747e-01 
 2.81838293e+01 -3.15441879e-01 
 2.88403150e+01 -3.26238005e-01 
 2.95120923e+01 -3.37417132e-01 
 3.01995172e+01 -3.49137806e-01 
 3.09029543e+01 -3.61374214e-01 
 3.16227766e+01 -3.74100929e-01 
 3.23593657e+01 -3.87479777e-01 
 3.31131121e+01 -4.01393669e-01 
 3.38844156e+01 -4.15912491e-01 
 3.46736850e+01 -4.31015676e-01 
 3.54813389e+01 -4.46817212e-01 
 3.63078055e+01 -4.63252928e-01 
 3.71535229e+01 -4.80440183e-01 
 3.80189396e+01 -4.98360874e-01 
 3.89045145e+01 -5.16998050e-01 
 3.98107171e+01 -5.36425832e-01 
 4.07380278e+01 -5.56718777e-01 
 4.16869383e+01 -5.77906398e-01 
 4.26579519e+01 -5.99886873e-01 
 4.36515832e+01 -6.22827038e-01 
 4.46683592e+01 -6.46712457e-01 
 4.57088190e+01 -6.71534871e-01 
 4.67735141e+01 -6.97415645e-01 
 4.78630092e+01 -7.24303296e-01 
 4.89778819e+01 -7.52319881e-01 
 5.01187234e+01 -7.81458449e-01 
 5.12861384e+01 -8.11757581e-01 
 5.24807460e+01 -8.43168714e-01 
 5.37031796e+01 -8.75940819e-01 
 5.49540874e+01 -9.09944951e-01 
 5.62341325e+01 -9.45221635e-01 
 5.75439937e+01 -9.81934222e-01 
 5.88843655e+01 -1.01995754e+00 
 6.02559586e+01 -1.05941590e+00 
 6.16595002e+01 -1.10034730e+00 
 6.30957344e+01 -1.14279408e+00 
 6.45654229e+01 -1.18683523e+00 
 6.60693448e+01 -1.23247303e+00 
 6.76082975e+01 -1.27974583e+00 
 6.91830971e+01 -1.32862024e+00 
 7.07945784e+01 -1.37925086e+00 
 7.24435960e+01 -1.43163678e+00 
 7.41310241e+01 -1.48585588e+00 
 7.58577575e+01 -1.54187243e+00 
 7.76247117e+01 -1.59975961e+00 
 7.94328235e+01 -1.65955615e+00 
 8.12830516e+01 -1.72129616e+00 
 8.31763771e+01 -1.78501485e+00 
 8.51138038e+01 -1.85078069e+00 
 8.70963590e+01 -1.91858875e+00 
 8.91250938e+01 -1.98840773e+00 
 9.12010839e+01 -2.06036379e+00 
 9.33254301e+01 -2.13442087e+00 
 9.54992586e+01 -2.21069707e+00 
 9.77237221e+01 -2.28906441e+00 
 1.00000000e+02 -2.36969757e+00 
 1.02329299e+02 -2.45255370e+00 
 1.04712855e+02 -2.53762203e+00 
 1.07151931e+02 -2.62494927e+00 
 1.09647820e+02 -2.71457557e+00 
 1.12201845e+02 -2.80645709e+00 
 1.14815362e+02 -2.90068191e+00 
 1.17489755e+02 -2.99712643e+00 
 1.20226443e+02 -3.09590006e+00 
 1.23026877e+02 -3.19702469e+00 
 1.25892541e+02 -3.30035469e+00 
 1.28824955e+02 -3.40603360e+00 
 1.31825674e+02 -3.51400556e+00 
 1.34896288e+02 -3.62424090e+00 
 1.38038426e+02 -3.73675319e+00 
 1.41253754e+02 -3.85152860e+00 
 1.44543977e+02 -3.96853296e+00 
 1.47910839e+02 -4.08782857e+00 
 1.51356125e+02 -4.20927720e+00 
 1.54881662e+02 -4.33295463e+00 
 1.58489319e+02 -4.45876205e+00 
 1.62181010e+02 -4.58671306e+00 
 1.65958691e+02 -4.71677982e+00 
 1.69824365e+02 -4.84893442e+00 
 1.73780083e+02 -4.98314647e+00 
 1.77827941e+02 -5.11936912e+00 
 1.81970086e+02 -5.25760088e+00 
 1.86208714e+02 -5.39779128e+00 
 1.90546072e+02 -5.53990564e+00 
 1.94984460e+02 -5.68386508e+00 
 1.99526231e+02 -5.82973067e+00 
 2.04173794e+02 -5.97734303e+00 
 2.08929613e+02 -6.12676995e+00 
 2.13796209e+02 -6.27793170e+00 
 2.18776162e+02 -6.43075467e+00 
 2.23872114e+02 -6.58523583e+00 
 2.29086765e+02 -6.74135647e+00 
 2.34422882e+02 -6.89902163e+00 
 2.39883292e+02 -7.05823522e+00 
 2.45470892e+02 -7.21896454e+00 
 2.51188643e+02 -7.38111297e+00 
 2.57039578e+02 -7.54469660e+00 
 2.63026799e+02 -7.70964027e+00 
 2.69153480e+02 -7.87594011e+00 
